	grammeme	description	category	parts
0	Abbr	аббревиатура	_other	[]
1	Geox	топоним	_other	[]
2	Supr	превосходная степень	_other	[]
3	Apro	местоименное	_other	[]
4	Cmp2	сравнительная степень на по-	_other	[]
5	anim	одушевлённые	animacy	[0, 1, 6, 9, 11]
6	inan	неодушевлённые	animacy	[0, 1, 6, 9, 11]
7	perf	совершенный вид	aspect	[4, 5, 6, 7, 8]
8	impf	несовершенный вид	aspect	[4, 5, 6, 7, 8]
9	nomn	именительный падеж	case	[0, 1, 2, 6, 9, 11]
10	gent	родительный падеж	case	[0, 1, 2, 6, 9, 11]
11	datv	дательный падеж	case	[0, 1, 2, 6, 9, 11]
12	accs	винительный падеж	case	[0, 1, 2, 6, 9, 11]
13	ablt	творительный падеж	case	[0, 1, 2, 6, 9, 11]
14	loct	предложный падеж	case	[0, 1, 2, 6, 9, 11]
15	voct	звательный падеж	case	[0, 1, 2, 6, 9, 11]
16	masc	мужской род	gender	[0, 1, 2, 4, 6, 7, 9, 11]
17	femn	женский род	gender	[0, 1, 2, 4, 6, 7, 9, 11]
18	neut	средний род	gender	[0, 1, 2, 4, 6, 7, 9, 11]
19	Ms-f	общий род	gender	[0, 1, 2, 4, 6, 7, 9, 11]
20	indc	изъявительное наклонение	mode	[4]
21	impr	повелительное наклонение	mode	[4]
22	sing	единственное число	number	[0, 1, 2, 4, 6, 7, 11]
23	plur	множественное число	number	[0, 1, 2, 4, 6, 7, 11]
24	NOUN	существительное	part	[]
25	ADJF	полное прилагательное	part	[]
26	ADJS	краткое прилагательное	part	[]
27	COMP	компаратив	part	[]
28	VERB	глагол	part	[]
29	INFN	инфинитив	part	[]
30	PRTF	полное причастие	part	[]
31	PRTS	краткое причастие	part	[]
32	GRND	деепричастие	part	[]
33	NUMR	числительное	part	[]
34	ADVB	наречие	part	[]
35	NPRO	местоимение	part	[]
36	PRED	предикатив	part	[]
37	PREP	предлог	part	[]
38	CONJ	союз	part	[]
39	PRCL	частица	part	[]
40	INTJ	междометие	part	[]
41	1per	1 лицо	person	[4, 11]
42	2per	2 лицо	person	[4, 11]
43	3per	3 лицо	person	[4, 11]
44	Name	имя	proper	[0]
45	Surn	фамилия	proper	[0]
46	Patr	отчество	proper	[0]
47	pres	настоящее время	tens	[4, 6, 7, 8, 12]
48	past	прошедшее время	tens	[4, 6, 7, 8, 12]
49	futr	будущее время	tens	[4, 6, 7, 8, 12]
50	tran	переходный	transitive	[4, 5, 6, 8]
51	intr	непереходный	transitive	[4, 5, 6, 8]
52	actv	действительный залог	voice	[6]
53	pssv	страдательный залог	voice	[6]
